person,image,score,threshold,result
Aaron_Eckhart,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Aaron_Eckhart\Aaron_Eckhart_0001.jpg,0.07368697226047516,0.8,REJECT
Aaron_Guiel,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Aaron_Guiel\Aaron_Guiel_0001.jpg,-0.04915579408407211,0.8,REJECT
Aaron_Patterson,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Aaron_Patterson\Aaron_Patterson_0001.jpg,-0.06969423592090607,0.8,REJECT
Aaron_Peirsol,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Aaron_Peirsol\Aaron_Peirsol_0001.jpg,0.08517288416624069,0.8,REJECT
Aaron_Peirsol,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Aaron_Peirsol\Aaron_Peirsol_0002.jpg,0.00621490553021431,0.8,REJECT
Aaron_Peirsol,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Aaron_Peirsol\Aaron_Peirsol_0003.jpg,-0.035883963108062744,0.8,REJECT
Aaron_Peirsol,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Aaron_Peirsol\Aaron_Peirsol_0004.jpg,-0.0659990906715393,0.8,REJECT
Aaron_Pena,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Aaron_Pena\Aaron_Pena_0001.jpg,0.03126686066389084,0.8,REJECT
Aaron_Sorkin,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Aaron_Sorkin\Aaron_Sorkin_0001.jpg,0.11385275423526764,0.8,REJECT
Aaron_Sorkin,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Aaron_Sorkin\Aaron_Sorkin_0002.jpg,0.05321713909506798,0.8,REJECT
Aaron_Tippin,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Aaron_Tippin\Aaron_Tippin_0001.jpg,-0.06150902435183525,0.8,REJECT
Abbas_Kiarostami,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abbas_Kiarostami\Abbas_Kiarostami_0001.jpg,-0.15310028195381165,0.8,REJECT
Abba_Eban,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abba_Eban\Abba_Eban_0001.jpg,0.031899139285087585,0.8,REJECT
Abdel_Aziz_Al-Hakim,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdel_Aziz_Al-Hakim\Abdel_Aziz_Al-Hakim_0001.jpg,,0.8,MULTIPLE_FACES
Abdel_Madi_Shabneh,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdel_Madi_Shabneh\Abdel_Madi_Shabneh_0001.jpg,0.05026278644800186,0.8,REJECT
Abdel_Nasser_Assidi,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdel_Nasser_Assidi\Abdel_Nasser_Assidi_0001.jpg,,0.8,MULTIPLE_FACES
Abdel_Nasser_Assidi,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdel_Nasser_Assidi\Abdel_Nasser_Assidi_0002.jpg,,0.8,MULTIPLE_FACES
Abdoulaye_Wade,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdoulaye_Wade\Abdoulaye_Wade_0001.jpg,0.023091726005077362,0.8,REJECT
Abdoulaye_Wade,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdoulaye_Wade\Abdoulaye_Wade_0002.jpg,0.05200741067528725,0.8,REJECT
Abdoulaye_Wade,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdoulaye_Wade\Abdoulaye_Wade_0003.jpg,0.06337855011224747,0.8,REJECT
Abdoulaye_Wade,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdoulaye_Wade\Abdoulaye_Wade_0004.jpg,0.03323691338300705,0.8,REJECT
Abdulaziz_Kamilov,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdulaziz_Kamilov\Abdulaziz_Kamilov_0001.jpg,,0.8,MULTIPLE_FACES
Abdullah,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdullah\Abdullah_0001.jpg,-0.039885036647319794,0.8,REJECT
Abdullah,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdullah\Abdullah_0002.jpg,-0.03845728188753128,0.8,REJECT
Abdullah,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdullah\Abdullah_0003.jpg,0.018559038639068604,0.8,REJECT
Abdullah,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdullah\Abdullah_0004.jpg,0.04271985590457916,0.8,REJECT
Abdullah_Ahmad_Badawi,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdullah_Ahmad_Badawi\Abdullah_Ahmad_Badawi_0001.jpg,-0.03062615543603897,0.8,REJECT
Abdullah_al-Attiyah,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdullah_al-Attiyah\Abdullah_al-Attiyah_0001.jpg,-0.08117671310901642,0.8,REJECT
Abdullah_al-Attiyah,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdullah_al-Attiyah\Abdullah_al-Attiyah_0002.jpg,,0.8,MULTIPLE_FACES
Abdullah_al-Attiyah,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdullah_al-Attiyah\Abdullah_al-Attiyah_0003.jpg,-0.13307178020477295,0.8,REJECT
Abdullah_Gul,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdullah_Gul\Abdullah_Gul_0001.jpg,-0.08255431056022644,0.8,REJECT
Abdullah_Gul,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdullah_Gul\Abdullah_Gul_0002.jpg,-0.017824368551373482,0.8,REJECT
Abdullah_Gul,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdullah_Gul\Abdullah_Gul_0003.jpg,-0.07033683359622955,0.8,REJECT
Abdullah_Gul,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdullah_Gul\Abdullah_Gul_0004.jpg,-0.07237356156110764,0.8,REJECT
Abdullah_Gul,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdullah_Gul\Abdullah_Gul_0005.jpg,-0.052849818021059036,0.8,REJECT
Abdullah_Gul,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdullah_Gul\Abdullah_Gul_0006.jpg,,0.8,MULTIPLE_FACES
Abdullah_Gul,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdullah_Gul\Abdullah_Gul_0007.jpg,-0.11185652017593384,0.8,REJECT
Abdullah_Gul,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdullah_Gul\Abdullah_Gul_0008.jpg,,0.8,MULTIPLE_FACES
Abdullah_Gul,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdullah_Gul\Abdullah_Gul_0009.jpg,,0.8,MULTIPLE_FACES
Abdullah_Gul,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdullah_Gul\Abdullah_Gul_0010.jpg,-0.0426502488553524,0.8,REJECT
Abdullah_Gul,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdullah_Gul\Abdullah_Gul_0011.jpg,,0.8,MULTIPLE_FACES
Abdullah_Gul,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdullah_Gul\Abdullah_Gul_0012.jpg,-0.09020332247018814,0.8,REJECT
Abdullah_Gul,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdullah_Gul\Abdullah_Gul_0013.jpg,-0.09758913516998291,0.8,REJECT
Abdullah_Gul,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdullah_Gul\Abdullah_Gul_0014.jpg,-0.053418487310409546,0.8,REJECT
Abdullah_Gul,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdullah_Gul\Abdullah_Gul_0015.jpg,-0.047068312764167786,0.8,REJECT
Abdullah_Gul,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdullah_Gul\Abdullah_Gul_0016.jpg,,0.8,MULTIPLE_FACES
Abdullah_Gul,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdullah_Gul\Abdullah_Gul_0017.jpg,-0.09440518915653229,0.8,REJECT
Abdullah_Gul,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdullah_Gul\Abdullah_Gul_0018.jpg,-0.1317073404788971,0.8,REJECT
Abdullah_Gul,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdullah_Gul\Abdullah_Gul_0019.jpg,-0.0962209478020668,0.8,REJECT
Abdullah_Nasseef,c:\Users\admin\OneDrive\Desktop\code\python\DATASET\lfw-deepfunneled\lfw-deepfunneled\Abdullah_Nasseef\Abdullah_Nasseef_0001.jpg,-0.0504341721534729,0.8,REJECT
